Date,Open,High,Low,Close,Adj Close,Volume
08-05-2015,15199.86621,15695.37598,15131.57813,15534.26856,15534.26856,1748300306
09-05-2015,15528.28027,15785.31348,15265.19629,15404.8916,15404.8916,1260670682
10-05-2015,15398.33106,15547.32617,15214.87207,15310.7002,15310.7002,956956976
11-05-2015,15310.89063,15606.53223,15265.00781,15502.25293,15502.25293,1337464458
12-05-2015,15501.4209,15549.31445,15380.21387,15481.36719,15481.36719,1238101037
13-05-2015,15499.73047,15578.41211,15052.91602,15137.86621,15137.86621,1740646220
14-05-2015,15127.42871,15088.34668,14837.80957,15022.67285,15022.67285,1547970179
15-05-2015,15024.32129,15146.18066,15019.90625,15071.28516,15071.28516,1035773842
16-05-2015,15073.75879,15077.12109,14924.76172,14979.18457,14979.18457,703419671
17-05-2015,14970.11426,15097.92578,14970.11426,15020.94336,15020.94336,706276485
18-05-2015,15026.33398,15069.95215,14807.30762,14856.50195,14856.50195,1069354822
19-05-2015,14850.70215,14896.68652,14779.09863,14794.06738,14794.06738,908378290
20-05-2015,14790.43066,14942.2666,14786.88281,14888.74023,14888.74023,986105927
21-05-2015,14888.61328,15006.04492,14889.44434,14973.50293,14973.50293,961287143
22-05-2015,14972.04004,15295.02539,14931.01074,15257.33984,15257.33984,1714155841
23-05-2015,15253.40332,15300.31445,15152.15234,15163.6416,15163.6416,927128321
24-05-2015,15170.24414,15360.81152,15159.77051,15336.6582,15336.6582,732484200
25-05-2015,15335.00391,15331.3457,15023.13574,15072.89258,15072.89258,916915784
26-05-2015,15072.51172,15245.10547,15039.50684,15172.53125,15172.53125,1050999615
27-05-2015,15169.26758,15265.54492,15123.20117,15155.54981,15155.54981,1203141794
28-05-2015,15153.88965,15166.96387,15105.49707,15151.90137,15151.90137,882635497
29-05-2015,15149.92188,15180.625,15023.13672,15110.88672,15110.88672,943570026
30-05-2015,15110.63184,15110.69531,14789.03418,14871.82324,14871.82324,898548894
31-05-2015,14858.43945,14865.89648,14644.78027,14672.49512,14672.49512,938952977
01-06-2015,14675.23535,14743.89844,14071.0625,14179.74316,14179.74316,1659548870
02-06-2015,14177.70801,14429.55957,14170.31445,14374.46094,14374.46094,1302405619
03-06-2015,14370.19531,14560.20117,14316.96387,14469.78125,14469.78125,1137241822
04-06-2015,14463.24805,14491.80273,14337.26074,14356.4668,14356.4668,942580726
05-06-2015,14345.58789,14407.60645,14272.29688,14342.82715,14342.82715,1151273412
06-06-2015,14346.20703,14391.73047,14306.29297,14385.35449,14385.35449,709738874
07-06-2015,14383.8877,14422.0166,14196.17969,14210.78125,14210.78125,849174525
08-06-2015,14210.65332,14670.09277,14208.10352,14617.17285,14617.17285,1495591059
09-06-2015,14620.30664,14751.03125,14585.17676,14667.27246,14667.27246,1815613441
10-06-2015,14663.87793,14675.5332,14545.875,14596.76172,14596.76172,1014665802
11-06-2015,14600.0791,14730.30859,14604.21094,14700.15527,14700.15527,922563453
12-06-2015,14700.15527,14792.36231,14669.06152,14739.43066,14739.43066,898387384
13-06-2015,14735.45801,14910.54981,14689.95508,14894.52734,14894.52734,852730024
14-06-2015,14897.0918,15051.93164,14869.02051,14967.6543,14967.6543,779706448
15-06-2015,14959.89941,15228.04395,14959.89941,15168.48926,15168.48926,1275368014
16-06-2015,15164.77441,16164.9082,15120.19043,16102.34082,16102.34082,2670641515
17-06-2015,16097.71973,16466.20313,15819.74121,15954.30078,15954.30078,2806959529
18-06-2015,15963.5166,16065.60742,15589.9502,15847.55273,15847.55273,1971672869
19-06-2015,15849.84375,15987.23535,15478.11035,15530.1084,15530.1084,1521564087
20-06-2015,15525.2832,15607.69336,15277.48047,15568.58398,15568.58398,1308414451
21-06-2015,15561.47266,15569.3457,15362.89356,15497.7627,15497.7627,673475177
22-06-2015,15499.35059,15746.87012,15484.84277,15684.85352,15684.85352,1123544520
23-06-2015,15680.85254,15731.00781,15465.20313,15534.85645,15534.85645,960766766
24-06-2015,15533.96582,15540.38086,15286.98926,15286.98926,15286.98926,1102431437
25-06-2015,15277.45508,15480.78223,15267.04785,15422.73828,15422.73828,1024784192
26-06-2015,15410.35156,15463.99707,15348.30176,15454.16309,15454.16309,887145402
27-06-2015,15451.30859,15945.52441,15423.90234,15923.38281,15923.38281,1299843908
28-06-2015,15921.16211,15934.92871,15710.10449,15804.72852,15804.72852,960783472
29-06-2015,15786.32129,16387.88672,15789.86426,16380.65723,16380.65723,2213890548
30-06-2015,16378.87402,17055.0918,16308.18848,16739.42773,16739.42773,2833712414
01-07-2015,16756.80078,16889.59961,16262.11133,16441.7793,16441.7793,1718414129
02-07-2015,16437.39258,16648.23633,16100.81543,16184.74316,16184.74316,1365683558
03-07-2015,16187.72168,16303.77148,16065.87988,16252.03516,16252.03516,1206767664
04-07-2015,16261.86231,16576.71289,16116.61035,16540.50977,16540.50977,990353667
05-07-2015,16535.375,17404.03711,16401.97852,17242.00391,17242.00391,2799938301
06-07-2015,17190.95898,17546.77539,17002.79688,17046.30664,17046.30664,3114551353
07-07-2015,17105.42383,17190.80859,16819.45313,16908.35156,16908.35156,1832913550
08-07-2015,16894.05859,17352.57617,16793.61328,17210.68945,17210.68945,2350406042
09-07-2015,17213.35742,17293.27148,16967.62695,17058.7168,17058.7168,2553548514
10-07-2015,17054.1543,18647.66992,17041.50977,18047.52344,18047.52344,6359525798
11-07-2015,18046.63477,18909.81836,17961.11523,18568.30664,18568.30664,2604238167
12-07-2015,18569.89258,19916.29492,18529.66602,19708.96875,19708.96875,3576077000
13-07-2015,19706.43164,19704.74414,17835.76758,18548.55273,18548.55273,3941086627
14-07-2015,18547.2832,18738.99805,18212.97852,18202.70898,18202.70898,1819055140
15-07-2015,18239.5,18608.87109,18126.99805,18156.34375,18156.34375,1745995559
16-07-2015,18169.87305,18498.2168,17461.69336,17652.81055,17652.81055,3141105965
17-07-2015,17652.93945,17791.38867,17272.00977,17741.35742,17741.35742,1751548977
18-07-2015,17732.40625,17935.29492,17398.74805,17451.18359,17451.18359,1598919926
19-07-2015,17442.67578,17500.00195,17299.58789,17369.42773,17369.42773,973330099
20-07-2015,17362.12695,17749.41211,17324.90625,17749.41211,17749.41211,1444951504
21-07-2015,17743.11328,17879.25977,17509.46094,17536.74609,17536.74609,1457874286
22-07-2015,17525.55664,17661,17447.88867,17648.42188,17648.42188,1234387631
23-07-2015,17656,17707.74414,17596.52539,17624.51563,17624.51563,1183141967
24-07-2015,17621.70508,18540.82813,17575.10547,18477.52539,18477.52539,2384340182
25-07-2015,18470.2168,18634.88086,18331.64258,18504.38086,18504.38086,1324368504
26-07-2015,18500.72852,18783.51953,18440.86133,18758.39258,18758.39258,1027518123
27-07-2015,18755.38086,19122.30078,18434.16992,18854.94727,18854.94727,1964453043
28-07-2015,18855.52539,19025.28516,18752.66406,18795.10156,18795.10156,1624861100
29-07-2015,18798.74023,18813.28125,18429.74805,18499.24023,18499.24023,1576105426
30-07-2015,18468.13086,18562.26172,18347.51563,18447.75586,18447.75586,1387213934
31-07-2015,18446.08984,18525.01758,18078.48633,18211.30859,18211.30859,1511740197
01-08-2015,18213.61328,18229.35156,17793.02148,18016.24219,18016.24219,1215260211
02-08-2015,17942.53906,18129.67188,17755.72266,18102.89648,18102.89648,1135199065
03-08-2015,18115.19531,18317.76172,17935.10742,18032.61133,18032.61133,1376945061
04-08-2015,18032.48438,18231.61719,18033.01953,18201.52734,18201.52734,1398129981
05-08-2015,18177.85156,18249.42383,17939.23047,17954.07813,17954.07813,1282024781
06-08-2015,17955.60742,17955.63672,17733.21484,17753.90625,17753.90625,1197633687
07-08-2015,17764.35938,17869.41016,17630.76953,17817.72852,17817.72852,2707522316
08-08-2015,17827.73438,17839.58789,16614.83984,16633.13086,16633.13086,3730261264
09-08-2015,16640.71289,17015.88672,16599.41602,16897.7168,16897.7168,1516468052
10-08-2015,16922.89453,17029.9668,16765.38867,16882.62695,16882.62695,1339234685
11-08-2015,16874.45703,17392.14648,16845.23633,17392.14648,17392.14648,1635994923
12-08-2015,17405.7832,17426.0625,17181.68359,17260.28711,17260.28711,1737549429
13-08-2015,17247.78125,17246.05664,17135.02539,17235.57617,17235.57617,1806935686
14-08-2015,17238.9707,17401.6582,17074.17383,17300.68164,17300.68164,1764138307
